split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,irreversible_failure,0.00000,0.00000,0.00000,0,10
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,damage,-0.00313,0.01000,-0.01313,3,10
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,total_cost,-0.01143,0.02782,-0.03926,5,10
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,calibration_error,-0.00024,0.04022,-0.04045,4,10
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,safety_utility,0.00623,0.06317,-0.05694,5,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.69219,0.02925,0.66294,10,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.16389,0.14682,0.01707,8,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00312,0.00408,-0.00721,2,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,damage,-0.00937,0.01041,-0.01978,4,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.51860,0.02788,-0.54648,10,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.61082,0.02156,-0.63238,10,10
narrow_passage_shift,recoverability_score_planner_v5,robust_margin_planner,safety_utility,0.99321,0.04437,0.94884,10,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,goal_success,0.03281,0.02348,0.00933,7,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,recovery_success,-0.05084,0.14993,-0.20076,2,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00000,0.00000,0.00000,0,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,damage,0.00000,0.00645,-0.00645,2,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.17383,0.02215,-0.19599,10,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.06601,0.02020,-0.08621,10,10
narrow_passage_shift,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.05766,0.03370,0.02396,9,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,goal_success,-0.02500,0.01595,-0.04095,1,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,0.00305,0.13759,-0.13454,2,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,0.00000,0.00000,0.00000,0,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,damage,0.00000,0.00456,-0.00456,1,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.06315,0.01571,0.04744,0,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.00539,0.01343,-0.01882,5,10
narrow_passage_shift,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,-0.04044,0.02598,-0.06642,1,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.02031,0.01373,-0.03405,1,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,-0.00877,0.09658,-0.10535,3,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00000,0.00000,0.00000,0,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,damage,0.00312,0.00408,-0.00096,0,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.03980,0.01683,0.02297,1,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,-0.02567,0.01388,-0.03955,8,10
narrow_passage_shift,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.03545,0.02152,-0.05697,1,10
narrow_passage_shift,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.02344,0.01840,-0.04184,1,10
